Episode 80: Total Reward = 1192.0, Epsilon = 0.67, steps = 91.00
Episode 81: Total Reward = 952.0, Epsilon = 0.67, steps = 91.00
Episode 82: Total Reward = 0.0, Epsilon = 0.66, steps = 132.00
Episode 83: Total Reward = -60.0, Epsilon = 0.66, steps = 116.00
Episode 84: Total Reward = 36.0, Epsilon = 0.66, steps = 147.00
Episode 85: Total Reward = 1116.0, Epsilon = 0.65, steps = 147.00
Episode 86: Total Reward = 136.0, Epsilon = 0.65, steps = 142.00
Episode 87: Total Reward = 88.0, Epsilon = 0.65, steps = 128.00
Episode 88: Total Reward = 1156.0, Epsilon = 0.64, steps = 128.00
Episode 89: Total Reward = -468.0, Epsilon = 0.64, steps = 93.00
Episode 90: Total Reward = -372.0, Epsilon = 0.64, steps = 109.00
Episode 91: Total Reward = -372.0, Epsilon = 0.63, steps = 124.00
Episode 92: Total Reward = -612.0, Epsilon = 0.63, steps = 87.00
Episode 93: Total Reward = 304.0, Epsilon = 0.63, steps = 148.00
Episode 94: Total Reward = -272.0, Epsilon = 0.62, steps = 104.00
Episode 95: Total Reward = 964.0, Epsilon = 0.62, steps = 104.00
Episode 96: Total Reward = -260.0, Epsilon = 0.62, steps = 116.00
Episode 97: Total Reward = -684.0, Epsilon = 0.61, steps = 60.00
Episode 98: Total Reward = -192.0, Epsilon = 0.61, steps = 139.00
Episode 99: Total Reward = -184.0, Epsilon = 0.61, steps = 110.00
Episode 100: Total Reward = -604.0, Epsilon = 0.61, steps = 73.00
Episode 101: Total Reward = -1452.0, Epsilon = 0.60, steps = 96.00
Episode 102: Total Reward = 1156.0, Epsilon = 0.60, steps = 96.00
Episode 103: Total Reward = 1180.0, Epsilon = 0.60, steps = 96.00
Episode 104: Total Reward = -1728.0, Epsilon = 0.59, steps = 62.00
Episode 105: Total Reward = -1360.0, Epsilon = 0.59, steps = 101.00
Episode 106: Total Reward = -1636.0, Epsilon = 0.59, steps = 52.00
Episode 107: Total Reward = -1428.0, Epsilon = 0.58, steps = 89.00
Episode 108: Total Reward = -1092.0, Epsilon = 0.58, steps = 135.00
Episode 109: Total Reward = -1108.0, Epsilon = 0.58, steps = 125.00
Episode 110: Total Reward = -1372.0, Epsilon = 0.58, steps = 93.00
Episode 111: Total Reward = 1168.0, Epsilon = 0.57, steps = 93.00
Episode 112: Total Reward = -1156.0, Epsilon = 0.57, steps = 128.00
Episode 113: Total Reward = -1372.0, Epsilon = 0.57, steps = 99.00
Episode 114: Total Reward = -948.0, Epsilon = 0.56, steps = 117.00
Episode 115: Total Reward = -844.0, Epsilon = 0.56, steps = 144.00
Episode 116: Total Reward = -1468.0, Epsilon = 0.56, steps = 98.00
Episode 117: Total Reward = -1456.0, Epsilon = 0.56, steps = 95.00
Episode 118: Total Reward = 996.0, Epsilon = 0.55, steps = 95.00
Episode 119: Total Reward = -776.0, Epsilon = 0.55, steps = 139.00
Episode 120: Total Reward = -1108.0, Epsilon = 0.55, steps = 114.00
Episode 121: Total Reward = -1472.0, Epsilon = 0.55, steps = 75.00
Episode 122: Total Reward = -1348.0, Epsilon = 0.54, steps = 108.00
Episode 123: Total Reward = -1324.0, Epsilon = 0.54, steps = 102.00
Episode 124: Total Reward = -1300.0, Epsilon = 0.54, steps = 121.00
Episode 125: Total Reward = -1576.0, Epsilon = 0.53, steps = 82.00
Episode 126: Total Reward = 704.0, Epsilon = 0.53, steps = 82.00
Episode 127: Total Reward = 1212.0, Epsilon = 0.53, steps = 82.00
Episode 128: Total Reward = 976.0, Epsilon = 0.53, steps = 82.00
Episode 129: Total Reward = -1176.0, Epsilon = 0.52, steps = 130.00
Episode 130: Total Reward = 732.0, Epsilon = 0.52, steps = 130.00
Episode 131: Total Reward = 1016.0, Epsilon = 0.52, steps = 130.00
Episode 132: Total Reward = -1748.0, Epsilon = 0.52, steps = 59.00
Episode 133: Total Reward = 1008.0, Epsilon = 0.51, steps = 59.00
Episode 134: Total Reward = 1248.0, Epsilon = 0.51, steps = 59.00
Episode 135: Total Reward = 968.0, Epsilon = 0.51, steps = 59.00
Episode 136: Total Reward = -1324.0, Epsilon = 0.51, steps = 125.00
Episode 137: Total Reward = -1716.0, Epsilon = 0.50, steps = 58.00
Episode 138: Total Reward = -1280.0, Epsilon = 0.50, steps = 103.00
Episode 139: Total Reward = -1116.0, Epsilon = 0.50, steps = 113.00
Episode 140: Total Reward = 1024.0, Epsilon = 0.50, steps = 113.00
Episode 141: Total Reward = 1016.0, Epsilon = 0.49, steps = 113.00
Episode 142: Total Reward = 952.0, Epsilon = 0.49, steps = 113.00
Episode 143: Total Reward = -1548.0, Epsilon = 0.49, steps = 79.00
Episode 144: Total Reward = 880.0, Epsilon = 0.49, steps = 79.00
Episode 145: Total Reward = 1096.0, Epsilon = 0.48, steps = 79.00
Episode 146: Total Reward = -1024.0, Epsilon = 0.48, steps = 131.00
Episode 147: Total Reward = -1616.0, Epsilon = 0.48, steps = 76.00
Episode 148: Total Reward = -1480.0, Epsilon = 0.48, steps = 79.00
Episode 149: Total Reward = 1112.0, Epsilon = 0.47, steps = 79.00
Episode 150: Total Reward = 928.0, Epsilon = 0.47, steps = 79.00
Episode 151: Total Reward = 1120.0, Epsilon = 0.47, steps = 79.00
Episode 152: Total Reward = 1268.0, Epsilon = 0.47, steps = 79.00
Episode 153: Total Reward = -1188.0, Epsilon = 0.46, steps = 130.00
Episode 154: Total Reward = -1324.0, Epsilon = 0.46, steps = 126.00
Episode 155: Total Reward = 936.0, Epsilon = 0.46, steps = 126.00
Episode 156: Total Reward = -1636.0, Epsilon = 0.46, steps = 83.00
Episode 157: Total Reward = -1356.0, Epsilon = 0.46, steps = 132.00
Episode 158: Total Reward = 748.0, Epsilon = 0.45, steps = 132.00
Episode 159: Total Reward = 1044.0, Epsilon = 0.45, steps = 132.00
Episode 160: Total Reward = -1140.0, Epsilon = 0.45, steps = 115.00
Episode 161: Total Reward = -1444.0, Epsilon = 0.45, steps = 131.00
Episode 162: Total Reward = 1096.0, Epsilon = 0.44, steps = 131.00
Episode 163: Total Reward = 1212.0, Epsilon = 0.44, steps = 131.00
Episode 164: Total Reward = 1000.0, Epsilon = 0.44, steps = 131.00
Episode 165: Total Reward = 1040.0, Epsilon = 0.44, steps = 131.00
Episode 166: Total Reward = 948.0, Epsilon = 0.44, steps = 131.00
Episode 167: Total Reward = 1064.0, Epsilon = 0.43, steps = 131.00
Episode 168: Total Reward = -1512.0, Epsilon = 0.43, steps = 96.00
Episode 169: Total Reward = 800.0, Epsilon = 0.43, steps = 96.00
Episode 170: Total Reward = 1152.0, Epsilon = 0.43, steps = 96.00
Episode 171: Total Reward = -992.0, Epsilon = 0.42, steps = 149.00
Episode 172: Total Reward = 624.0, Epsilon = 0.42, steps = 149.00
Episode 173: Total Reward = 956.0, Epsilon = 0.42, steps = 149.00
Episode 174: Total Reward = -1048.0, Epsilon = 0.42, steps = 138.00
Episode 175: Total Reward = -1548.0, Epsilon = 0.42, steps = 78.00
Episode 176: Total Reward = -1484.0, Epsilon = 0.41, steps = 106.00
Episode 177: Total Reward = -1288.0, Epsilon = 0.41, steps = 141.00
Episode 178: Total Reward = 660.0, Epsilon = 0.41, steps = 141.00
Episode 179: Total Reward = 920.0, Epsilon = 0.41, steps = 141.00
Episode 180: Total Reward = -1732.0, Epsilon = 0.41, steps = 102.00
Episode 181: Total Reward = -1008.0, Epsilon = 0.40, steps = 136.00
Episode 182: Total Reward = 916.0, Epsilon = 0.40, steps = 136.00
Episode 183: Total Reward = -1444.0, Epsilon = 0.40, steps = 84.00
Episode 184: Total Reward = -1356.0, Epsilon = 0.40, steps = 136.00
Episode 185: Total Reward = 868.0, Epsilon = 0.40, steps = 136.00
Episode 186: Total Reward = 916.0, Epsilon = 0.39, steps = 136.00
Episode 187: Total Reward = 700.0, Epsilon = 0.39, steps = 136.00
Episode 188: Total Reward = -1536.0, Epsilon = 0.39, steps = 145.00
Episode 189: Total Reward = 1212.0, Epsilon = 0.39, steps = 145.00
Episode 190: Total Reward = -1320.0, Epsilon = 0.39, steps = 140.00
Episode 191: Total Reward = -1524.0, Epsilon = 0.38, steps = 120.00
Episode 192: Total Reward = 776.0, Epsilon = 0.38, steps = 120.00
Episode 193: Total Reward = 804.0, Epsilon = 0.38, steps = 120.00
Episode 194: Total Reward = 668.0, Epsilon = 0.38, steps = 120.00
Episode 195: Total Reward = 1112.0, Epsilon = 0.38, steps = 120.00
Episode 196: Total Reward = -1372.0, Epsilon = 0.37, steps = 140.00
Episode 197: Total Reward = 696.0, Epsilon = 0.37, steps = 140.00
Episode 198: Total Reward = -1604.0, Epsilon = 0.37, steps = 82.00
Episode 199: Total Reward = -1708.0, Epsilon = 0.37, steps = 87.00
Episode 200: Total Reward = 1000.0, Epsilon = 0.37, steps = 87.00
Episode 201: Total Reward = 1172.0, Epsilon = 0.37, steps = 87.00
Episode 202: Total Reward = 760.0, Epsilon = 0.36, steps = 87.00
Episode 203: Total Reward = 888.0, Epsilon = 0.36, steps = 87.00
Episode 204: Total Reward = -2280.0, Epsilon = 0.36, steps = 147.00
Episode 205: Total Reward = -2416.0, Epsilon = 0.36, steps = 126.00
Episode 206: Total Reward = 1152.0, Epsilon = 0.36, steps = 126.00
Episode 207: Total Reward = -2776.0, Epsilon = 0.35, steps = 53.00
Episode 208: Total Reward = 1076.0, Epsilon = 0.35, steps = 53.00
Episode 209: Total Reward = 512.0, Epsilon = 0.35, steps = 53.00
Episode 210: Total Reward = 400.0, Epsilon = 0.35, steps = 53.00
Episode 211: Total Reward = 904.0, Epsilon = 0.35, steps = 53.00
Episode 212: Total Reward = -2164.0, Epsilon = 0.35, steps = 133.00
Episode 213: Total Reward = -2364.0, Epsilon = 0.34, steps = 133.00
Episode 214: Total Reward = -2176.0, Epsilon = 0.34, steps = 126.00
Episode 215: Total Reward = -2384.0, Epsilon = 0.34, steps = 99.00
Episode 216: Total Reward = 684.0, Epsilon = 0.34, steps = 99.00
Episode 217: Total Reward = 840.0, Epsilon = 0.34, steps = 99.00
Episode 218: Total Reward = 752.0, Epsilon = 0.34, steps = 99.00
